Usumm, мВ;UR, мВ;ΔUsumm=UR, мВ;R;ΔUd,mV;ΔId, mA;Ud,mV;Id,mA;;Usumm, мВ;UR, мВ;ΔUsumm=UR, мВ;ΔUd,mV;ΔId, mA;Ud,mV;Id,mA;;Usumm, В;UR, В;ΔUsumm=UR, В;R2;ΔUd,V;ΔId, A;Ud,V;Id,A;;Usumm, В;UR, В;ΔUsumm, В;UR, мВ;ΔUd,V;ΔId, mA;Ud,V;Id,A
277;220;0,5;5000;0,7071;0,0022;57,0000;0,044;;576;139;0,5;0,7071;0,0014;437,0000;0,0278;;1,79;1,1;0,005;100000;0,007071;0,000001;0,6900;0,000011;;34;0,12;0,5;0,005;0,500025;0,00000008;33,8800;0,0000012
306;246;0,5;5000;0,7071;0,0025;60,0000;0,0492;;629;103;0,5;0,7071;0,001;526,0000;0,0206;;2,14;1,13;0,005;100000;0,007071;0,000001;1,0100;0,0000113;;54;0,07;0,5;0,005;0,500025;0,00000006;53,9300;0,0000007
375;309;0,5;5000;0,7071;0,0031;66,0000;0,0618;;646;196;0,5;0,7071;0,002;450,0000;0,0392;;2,75;1,19;0,005;100000;0,007071;0,000001;1,5600;0,0000119;;85;0,03;0,5;0,005;0,500025;0,00000005;84,9700;0,0000003
465;390;0,5;5000;0,7071;0,0039;75,0000;0,078;;729;267;0,5;0,7071;0,0027;462,0000;0,0534;;3,26;2,24;0,005;100000;0,007071;0,000001;1,0200;0,0000224;;110;0,04;0,5;0,005;0,500025;0,00000005;109,9600;0,0000004
480;403;0,5;5000;0,7071;0,004;77,0000;0,0806;;807;339;0,5;0,7071;0,0034;468,0000;0,0678;;3,83;1,24;0,005;100000;0,007071;0,000001;2,5900;0,0000124;;208;0,13;0,5;0,005;0,500025;0,00000008;207,8700;0,0000013
515;437;0,5;5000;0,7071;0,0044;78,0000;0,0874;;932;445;0,5;0,7071;0,0045;487,0000;0,089;;5,57;1,32;0,005;100000;0,007071;0,000001;4,2500;0,0000132;;247;0,16;0,5;0,005;0,500025;0,00000009;246,8400;0,0000016
574;494;0,5;5000;0,7071;0,0049;80,0000;0,0988;;992;507;0,5;0,7071;0,0051;485,0000;0,1014;;6,38;1,35;0,005;100000;0,007071;0,000001;5,0300;0,0000135;;347;0,22;0,5;0,005;0,500025;0,00000012;346,7800;0,0000022
638;555;0,5;5000;0,7071;0,0056;83,0000;0,111;;1054;565;0,5;0,7071;0,0057;489,0000;0,113;;7,36;1,39;0,005;100000;0,007071;0,000001;5,9700;0,0000139;;527;0,31;0,5;0,005;0,500025;0,00000016;526,6900;0,0000031
710;623;0,5;5000;0,7071;0,0062;87,0000;0,1246;;1116;622;0,5;0,7071;0,0062;494,0000;0,1244;;9,40;1,17;0,005;100000;0,007071;0,000001;8,2300;0,0000117;;662;0,37;0,5;0,005;0,500025;0,00000019;661,6300;0,0000037
738;650;0,5;5000;0,7071;0,0065;88,0000;0,13;;1224;724;0,5;0,7071;0,0072;500,0000;0,1448;;14,77;1,69;0,005;100000;0,007071;0,000001;13,0800;0,0000169;;709;0,39;0,5;0,005;0,500025;0,0000002;708,6100;0,0000039
