"Uз = 4,5 В",,Uз = 5 В,,"Uз = 5,5 В",,Uз = 6 В,,"Uз = 6,5 В",,Uз = 7 В,,"Uз = 7,5 В",,,Навантаження - Rн,,Навантаження - Ту ,,Навантаження - Тн,
"Uс, В","Iс, мкА","Uс, В","Iс, мкА","Uс, В","Iс, мкА","Uс, В","Iс, мкА","Uс, В","Iс, мкА","Uс, В","Iс, мкА","Uс, В","Iс, мкА",,"Uз, В","Uс, В","Uз, В","Uс, В","Uз, В","Uс, В"
0,120,0,60,0,15,0,30,0,35,0,40,0,30,,0,"17,5",0,13,0,10
"0,1",170,"0,1",85,"0,1",65,"0,1",70,"0,1",85,"0,1",90,"0,1",105,,1,"17,5",1,13,1,10
"0,2",185,"0,2",110,"0,2",105,"0,2",115,"0,2",140,"0,2",145,"0,15",130,,2,"17,5",2,13,2,10
"0,3",195,"0,3",140,"0,3",140,"0,3",160,"0,3",180,"0,3",200,"0,2",165,,3,"17,5",3,13,3,10
"0,4",205,"0,4",162,"0,4",170,"0,4",200,"0,4",235,"0,4",255,"0,25",190,,4,"16,5",4,11,"3,2","7,8"
"0,5",220,"0,5",180,"0,5",200,"0,5",240,"0,5",285,"0,5",300,"0,3",220,,5,14,"4,5",10,"3,4",7
"0,7",240,"0,6",198,"0,6",225,"0,6",280,"0,55",300,,,"0,35",250,,"5,5","12,5",5,"9,5","3,5","5,8"
"0,9",265,"0,7",215,"0,7",265,"0,66",300,,,,,"0,4",275,,6,"10,5","5,5","8,2","3,6","4,8"
"1,2",285,"0,8",239,"0,8",290,,,,,,,"0,44",300,,7,"8,2",6,7,"3,7","3,4"
"1,5",300,"0,9",245,"0,84",300,,,,,,,,,,"7,5","6,3","6,5","5,9","3,8","2,3"
,,1,255,,,,,,,,,,,,8,"4,6",7,"4,9","3,9","0,3"
,,"1,2",275,,,,,,,,,,,,9,"3,4","7,5","3,8",4,0
,,"1,5",295,,,,,,,,,,,,10,"2,8",8,"3,4",,
,,,,,,,,,,,,,,,11,"2,7","8,5",3,,
,,,,,,,,,,,,,,,,,9,"2,7",,
,,,,,,,,,,,,,,,,,"9,5","2,5",,
,,,,,,,,,,,,,,,,,10,"2,4",,
