0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;
4.279;4.283;4.283;4.281;4.277;4.276;4.276;4.28;4.286;4.294;4.302;4.308;4.31;4.309;4.304;4.297;4.289;4.283;4.28;4.281;4.284;4.289;4.294;4.296;4.296;
3.572;3.579;3.577;3.57;3.562;3.556;3.557;3.564;3.579;3.597;3.614;3.627;3.632;3.629;3.618;3.601;3.584;3.571;3.565;3.566;3.574;3.586;3.597;3.603;3.603;
2.888;2.896;2.89;2.874;2.856;2.843;2.842;2.854;2.879;2.912;2.944;2.967;2.976;2.969;2.948;2.918;2.887;2.863;2.852;2.855;2.871;2.894;2.916;2.929;2.929;
2.236;2.245;2.229;2.196;2.158;2.132;2.127;2.145;2.186;2.242;2.296;2.335;2.35;2.338;2.302;2.249;2.195;2.155;2.138;2.145;2.174;2.217;2.258;2.281;2.281;
1.627;1.636;1.603;1.536;1.461;1.413;1.401;1.427;1.492;1.588;1.68;1.744;1.767;1.747;1.686;1.596;1.501;1.437;1.412;1.426;1.477;1.557;1.631;1.672;1.672;
1.078;1.087;1.024;0.9;0.751;0.67;0.649;0.683;0.78;0.953;1.108;1.208;1.243;1.211;1.114;0.961;0.788;0.691;0.658;0.68;0.763;0.917;1.049;1.119;1.119;
0.616;0.622;0.52;0.299;-0.02;-0.125;-0.149;-0.117;0.001;0.348;0.604;0.75;0.798;0.754;0.61;0.354;0.007;-0.112;-0.144;-0.12;-0.013;0.311;0.539;0.649;0.649;
0.274;0.279;0.144;-0.199;-1.0;-1.0;-1.0;-1.0;-1.0;-0.16;0.222;0.402;0.458;0.405;0.227;-0.155;-1.0;-1.0;-1.0;-1.0;-1.0;-0.193;0.157;0.299;0.299;
0.08;0.084;-0.018;-0.238;-0.554;-0.658;-0.682;-0.654;-0.541;-0.202;0.048;0.188;0.234;0.191;0.052;-0.198;-0.539;-0.652;-0.681;-0.657;-0.553;-0.233;-0.009;0.099;0.099;
-0.001;0.002;-0.06;-0.178;-0.319;-0.395;-0.416;-0.39;-0.306;-0.15;-0.012;0.076;0.106;0.077;-0.009;-0.147;-0.304;-0.388;-0.415;-0.394;-0.318;-0.174;-0.054;0.011;0.011;
-0.015;-0.014;-0.042;-0.092;-0.149;-0.185;-0.196;-0.182;-0.142;-0.077;-0.017;0.024;0.038;0.025;-0.015;-0.076;-0.14;-0.181;-0.195;-0.184;-0.148;-0.091;-0.039;-0.01;-0.01;
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
