0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
0.0;0.0;0.0;0.0;0.0;-0.1;-0.159;-0.234;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;0.356;0.785;1.3;3.0;3.0;3.0;3.0;3.0;
-0.011;-0.011;-0.015;-0.025;-0.046;-0.101;-0.16;-0.235;-0.345;-0.385;-0.4;-0.401;-0.393;-0.373;-0.333;-0.253;-0.078;0.36;0.791;1.305;2.029;2.302;2.416;2.459;2.459;
-0.019;-0.02;-0.026;-0.039;-0.062;-0.1;-0.147;-0.202;-0.262;-0.297;-0.312;-0.312;-0.297;-0.263;-0.202;-0.094;0.089;0.384;0.725;1.11;1.518;1.772;1.91;1.969;1.969;
-0.024;-0.025;-0.031;-0.044;-0.064;-0.093;-0.128;-0.166;-0.204;-0.229;-0.24;-0.237;-0.218;-0.178;-0.111;-0.005;0.154;0.373;0.629;0.906;1.173;1.372;1.495;1.553;1.553;
-0.026;-0.027;-0.033;-0.044;-0.06;-0.082;-0.107;-0.135;-0.159;-0.176;-0.183;-0.177;-0.156;-0.116;-0.053;0.041;0.171;0.337;0.527;0.726;0.914;1.062;1.161;1.21;1.21;
-0.025;-0.027;-0.031;-0.04;-0.053;-0.07;-0.088;-0.107;-0.124;-0.135;-0.138;-0.13;-0.11;-0.073;-0.018;0.061;0.164;0.289;0.43;0.575;0.71;0.82;0.896;0.935;0.935;
-0.023;-0.024;-0.028;-0.035;-0.045;-0.058;-0.071;-0.085;-0.096;-0.103;-0.103;-0.095;-0.077;-0.045;0.002;0.065;0.145;0.24;0.345;0.451;0.549;0.631;0.688;0.717;0.717;
-0.02;-0.021;-0.025;-0.03;-0.038;-0.047;-0.057;-0.066;-0.074;-0.078;-0.077;-0.07;-0.053;-0.027;0.011;0.061;0.123;0.195;0.273;0.352;0.424;0.484;0.527;0.549;0.549;
-0.017;-0.018;-0.021;-0.025;-0.031;-0.038;-0.046;-0.052;-0.058;-0.06;-0.059;-0.052;-0.038;-0.016;0.015;0.054;0.102;0.158;0.216;0.275;0.329;0.374;0.407;0.424;0.424;
-0.015;-0.016;-0.018;-0.022;-0.026;-0.031;-0.037;-0.042;-0.046;-0.048;-0.046;-0.039;-0.028;-0.01;0.015;0.047;0.085;0.128;0.174;0.219;0.261;0.296;0.321;0.334;0.334;
-0.013;-0.014;-0.016;-0.019;-0.023;-0.027;-0.031;-0.036;-0.038;-0.039;-0.038;-0.032;-0.022;-0.006;0.015;0.041;0.073;0.109;0.146;0.183;0.217;0.245;0.266;0.277;0.277;
-0.012;-0.013;-0.015;-0.017;-0.021;-0.025;-0.029;-0.032;-0.035;-0.036;-0.034;-0.028;-0.019;-0.005;0.014;0.038;0.067;0.099;0.132;0.165;0.195;0.221;0.239;0.248;0.248;
-0.012;-0.013;-0.015;-0.017;-0.021;-0.025;-0.029;-0.032;-0.035;-0.036;-0.034;-0.028;-0.019;-0.005;0.014;0.038;0.067;0.099;0.132;0.165;0.195;0.221;0.239;0.248;0.248;
