0;0;0;0;;0;0;0;0;;7500;47;46
0.5;0.9;0.5;0.9;;0.5;16.9;0.5;0.8;;8500;52;51
1;1.2;1;1.3;;1;50;1;1.2;;9900;58;57
1.5;1.5;1.5;1.5;;1.5;87.3;1.5;1.5;;11700;66;64
2;1.7;2;1.7;;2;127.9;2;1.7;;13600;75;72
2.5;1.8;2.5;1.8;;2.5;171;2.5;1.8;;15700;86;82
3;2;3;1.9;;3;237;3;2;;18500;96;92
3.5;2.1;3.5;2;;3.5;292;3.5;2.1;;22100;110;105
4;2.3;4;2.1;;4;350;4;2.3;;;;
4.5;2.4;4.5;2.1;;4.5;236;4.5;2.4;;;;
5;2.5;5;2.2;;5;273;5;2.6;;;;
5.5;2.7;5.5;2.3;;5.5;309;5.5;2.7;;;;
6;2.8;6;2.3;;6;347;6;2.9;;;;
6.5;2.9;6.5;2.4;;6.5;383;6.5;3;;;;
